date,village,state,latitude,longitude,rainfall_mm,days_since_last_rain,turbidity_ntu,ph_level,dissolved_oxygen_mgL,bacterial_count_cfu,reported_symptom_cases,population_at_risk,outbreak_risk_probability,outbreak_next_7days
2026-01-01,Majuli,Assam,26.95,94.17,3.75,0,2.15,7.19,6.83,97.5,1,321,0.217,0
2026-01-02,Majuli,Assam,26.95,94.17,0.06,1,2.16,7.01,5.99,51.3,2,1597,0.226,0
2026-01-03,Majuli,Assam,26.95,94.17,23.79,0,5.18,6.82,5.78,147.0,0,1321,0.366,0
2026-01-04,Majuli,Assam,26.95,94.17,5.87,0,5.37,6.2,6.74,115.1,0,2643,0.258,0
2026-01-05,Majuli,Assam,26.95,94.17,14.89,0,6.02,7.99,7.05,100.7,2,2995,0.348,0
2026-01-06,Majuli,Assam,26.95,94.17,0.04,1,1.27,7.35,7.57,87.0,0,2482,0.213,0
2026-01-07,Majuli,Assam,26.95,94.17,15.18,0,3.73,6.93,8.26,46.1,2,1784,0.351,0
2026-01-08,Majuli,Assam,26.95,94.17,1.8,1,4.85,6.96,7.65,142.6,1,2119,0.239,0
2026-01-09,Majuli,Assam,26.95,94.17,21.24,0,7.13,7.69,6.81,116.5,2,2975,0.508,1
2026-01-10,Majuli,Assam,26.95,94.17,3.48,0,1.42,6.48,5.89,22.1,2,1795,0.44,0
2026-01-11,Majuli,Assam,26.95,94.17,9.71,0,5.49,6.96,4.2,93.1,1,1961,0.324,0
2026-01-12,Majuli,Assam,26.95,94.17,1.25,1,3.61,7.2,6.49,101.9,2,908,0.189,0
2026-01-13,Majuli,Assam,26.95,94.17,1.31,2,8.0,7.05,6.0,139.7,2,2898,0.286,0
2026-01-14,Majuli,Assam,26.95,94.17,22.08,0,7.44,6.77,5.44,98.8,4,2356,0.653,1
2026-01-15,Majuli,Assam,26.95,94.17,2.62,0,5.89,7.28,6.16,129.1,6,460,0.496,1
2026-01-16,Majuli,Assam,26.95,94.17,0.15,1,3.98,6.2,6.47,122.2,2,2577,0.218,0
2026-01-17,Majuli,Assam,26.95,94.17,4.0,0,4.95,7.5,6.52,133.2,2,1543,0.243,0
2026-01-18,Majuli,Assam,26.95,94.17,5.08,0,5.47,7.36,6.08,112.0,2,427,0.216,0
2026-01-19,Majuli,Assam,26.95,94.17,3.73,0,6.57,6.8,7.26,70.1,1,2005,0.305,0
2026-01-20,Majuli,Assam,26.95,94.17,13.26,0,8.88,7.18,6.81,121.8,5,2282,0.672,1
2026-01-21,Majuli,Assam,26.95,94.17,0.29,1,8.66,5.88,7.32,70.9,0,2791,0.249,0
2026-01-22,Majuli,Assam,26.95,94.17,3.16,0,6.49,6.68,7.43,100.5,2,669,0.348,0
2026-01-23,Majuli,Assam,26.95,94.17,5.81,0,6.68,6.62,5.97,53.3,0,1381,0.228,0
2026-01-24,Majuli,Assam,26.95,94.17,19.74,0,9.3,6.07,6.09,129.9,3,453,0.662,1
2026-01-25,Majuli,Assam,26.95,94.17,3.52,0,3.88,8.12,6.48,53.0,1,2789,0.343,0
2026-01-26,Majuli,Assam,26.95,94.17,5.56,0,1.68,8.16,7.0,80.5,6,584,0.532,1
2026-01-27,Majuli,Assam,26.95,94.17,0.58,1,4.62,6.63,6.25,72.2,1,712,0.258,0
2026-01-28,Majuli,Assam,26.95,94.17,0.32,2,6.94,7.27,6.41,39.0,3,1848,0.376,0
2026-01-29,Majuli,Assam,26.95,94.17,10.77,0,3.82,6.19,6.11,178.2,1,1150,0.341,0
2026-01-30,Majuli,Assam,26.95,94.17,5.43,0,4.29,7.67,9.07,74.1,3,1491,0.371,0
2026-01-31,Majuli,Assam,26.95,94.17,0.6,1,5.18,7.52,7.89,77.1,4,1543,0.322,0
2026-02-01,Majuli,Assam,26.95,94.17,6.78,0,4.67,7.51,7.42,104.0,2,1228,0.357,0
2026-02-02,Majuli,Assam,26.95,94.17,2.02,0,4.34,7.59,7.07,86.4,3,967,0.32,0
2026-02-03,Majuli,Assam,26.95,94.17,3.27,0,6.28,7.28,5.25,59.7,1,1524,0.246,0
2026-02-04,Majuli,Assam,26.95,94.17,2.96,0,5.44,7.58,7.39,137.8,3,523,0.404,0
2026-02-05,Majuli,Assam,26.95,94.17,33.75,0,6.44,7.82,5.69,136.1,1,810,0.567,1
2026-02-06,Majuli,Assam,26.95,94.17,2.56,0,4.27,7.03,5.96,102.8,1,973,0.249,0
2026-02-07,Majuli,Assam,26.95,94.17,5.17,0,3.02,6.69,7.57,57.3,5,2317,0.566,1
2026-02-08,Majuli,Assam,26.95,94.17,3.42,0,7.35,7.04,8.45,67.4,2,2206,0.394,0
2026-02-09,Majuli,Assam,26.95,94.17,6.16,0,1.73,8.41,5.18,112.2,1,1328,0.26,0
2026-02-10,Majuli,Assam,26.95,94.17,3.39,0,3.87,6.95,8.52,152.4,2,1379,0.376,0
2026-02-11,Majuli,Assam,26.95,94.17,16.55,0,5.26,7.51,5.76,70.0,1,825,0.399,0
2026-02-12,Majuli,Assam,26.95,94.17,1.28,1,4.93,6.53,7.07,109.0,0,1362,0.147,0
2026-02-13,Majuli,Assam,26.95,94.17,3.11,0,5.46,6.61,5.2,144.3,2,2772,0.341,0
2026-02-14,Majuli,Assam,26.95,94.17,3.29,0,4.78,7.5,6.49,39.1,2,2170,0.33,0
2026-02-15,Majuli,Assam,26.95,94.17,13.59,0,5.65,6.57,5.86,111.0,2,2110,0.408,0
2026-02-16,Majuli,Assam,26.95,94.17,1.78,1,4.61,8.03,7.68,109.8,0,1973,0.305,0
2026-02-17,Majuli,Assam,26.95,94.17,36.81,0,3.79,7.6,5.81,105.4,3,675,0.603,1
2026-02-18,Majuli,Assam,26.95,94.17,37.62,0,6.75,6.25,6.72,114.6,0,900,0.618,1
2026-02-19,Majuli,Assam,26.95,94.17,16.78,0,6.16,7.72,6.01,38.2,2,2297,0.404,0
2026-02-20,Majuli,Assam,26.95,94.17,0.55,1,4.54,6.08,4.26,63.4,2,816,0.294,0
2026-02-21,Majuli,Assam,26.95,94.17,16.75,0,3.86,7.62,5.89,72.8,1,2134,0.32,0
2026-02-22,Majuli,Assam,26.95,94.17,7.31,0,2.38,6.59,4.48,50.9,2,655,0.354,0
